M/Z,INTENSITY
75.0265,7.66E+02
75.0303,3.93E+02
75.0341,7.00E+00
75.0379,4.00E+00
75.0416,9.00E+00
75.0454,0.00E+00
75.0492,2.90E+01
75.053,0.00E+00
75.0606,0.00E+00
75.0643,4.00E+00
75.0681,1.10E+01
75.0719,0.00E+00
75.1022,0.00E+00
75.106,2.00E+01
75.1097,4.20E+01
75.1135,0.00E+00
75.1438,0.00E+00
75.1476,2.60E+01
75.1514,1.00E+01
75.1552,0.00E+00
75.3181,0.00E+00
75.3219,1.10E+01
75.3257,7.00E+00
75.3295,0.00E+00
75.5609,0.00E+00
75.5647,5.00E+00
75.5685,2.00E+01
75.5723,0.00E+00
75.6634,0.00E+00
75.6672,4.00E+00
75.671,9.00E+00
75.6748,0.00E+00
75.8649,0.00E+00
75.8687,2.00E+00
75.8725,2.10E+01
75.8763,0.00E+00
76.0095,0.00E+00
76.0133,1.30E+01
76.0171,3.80E+01
76.0209,4.00E+00
76.0247,9.00E+01
76.0285,3.30E+02
76.0324,6.35E+02
76.0362,3.55E+02
76.04,7.90E+01
76.0438,0.00E+00
76.1352,0.00E+00
76.139,2.50E+01
76.1428,3.00E+00
76.1466,2.80E+01
76.1505,1.30E+01
76.1543,0.00E+00
76.2038,0.00E+00
76.2076,8.00E+00
76.2114,8.00E+00
76.2153,0.00E+00
76.2496,0.00E+00
76.2534,6.30E+01
76.2572,4.10E+01
76.261,1.40E+01
76.2648,1.20E+01
76.2686,0.00E+00
76.3602,0.00E+00
76.364,1.60E+01
76.3679,4.00E+00
76.3717,0.00E+00
76.4213,0.00E+00
76.4251,2.50E+01
76.4289,1.80E+01
76.4328,0.00E+00
76.4366,0.00E+00
76.4404,3.00E+00
76.4442,1.50E+01
76.448,1.20E+01
76.4518,1.10E+01
76.4557,0.00E+00
76.6009,0.00E+00
76.6047,1.10E+01
76.6085,1.60E+01
76.6123,4.00E+00
76.6161,1.70E+01
76.62,1.30E+01
76.6238,0.00E+00
76.6582,0.00E+00
76.662,3.00E+00
76.6658,3.00E+01
76.6697,0.00E+00
76.6888,0.00E+00
76.6926,3.30E+01
76.6964,1.00E+00
76.7003,0.00E+00
76.7615,0.00E+00
76.7653,9.00E+00
76.7691,4.00E+00
76.773,0.00E+00
76.7768,4.00E+00
76.7806,1.70E+01
76.7844,0.00E+00
76.838,0.00E+00
76.8419,9.00E+00
76.8457,4.00E+00
76.8495,0.00E+00
76.8533,0.00E+00
76.8572,2.50E+01
76.861,7.00E+00
76.8648,0.00E+00
76.8687,0.00E+00
76.8725,9.00E+00
76.8763,9.00E+00
76.8801,0.00E+00
76.9683,0.00E+00
76.9721,3.00E+00
76.9759,1.80E+01
76.9797,3.30E+01
76.9836,2.20E+01
76.9874,1.50E+01
76.9912,1.00E+01
76.9951,0.00E+00
76.9989,3.80E+01
77.0027,9.80E+01
77.0066,9.10E+01
77.0104,0.00E+00
77.0142,9.00E+00
77.0181,6.20E+01
77.0219,5.30E+01
77.0257,8.90E+01
77.0296,3.14E+02
77.0334,3.76E+03
77.0372,2.45E+04
77.0411,3.84E+04
77.0449,1.70E+04
77.0487,2.65E+03
77.0526,1.08E+02
77.0564,1.90E+01
77.0602,9.00E+00
77.0641,1.50E+01
77.0679,4.00E+00
77.0717,0.00E+00
77.0756,0.00E+00
77.0794,1.90E+01
77.0832,3.20E+01
77.0871,0.00E+00
77.0909,1.00E+01
77.0947,2.30E+01
77.0986,0.00E+00
77.16,0.00E+00
77.1638,8.00E+00
77.1676,1.20E+01
77.1715,0.00E+00
77.2405,0.00E+00
77.2444,2.00E+00
77.2482,1.70E+01
77.2521,0.00E+00
77.2904,0.00E+00
77.2943,6.00E+00
77.2981,9.00E+00
77.302,5.00E+00
77.3058,1.90E+01
77.3096,0.00E+00
77.4095,0.00E+00
77.4134,3.00E+01
77.4172,3.10E+01
77.4211,0.00E+00
77.4326,0.00E+00
77.4364,6.00E+00
77.4403,1.90E+01
77.4441,7.00E+00
77.448,0.00E+00
77.5479,0.00E+00
77.5518,1.10E+01
77.5556,8.00E+00
77.5595,0.00E+00
77.5633,1.80E+01
77.5671,2.00E+00
77.571,0.00E+00
77.7134,0.00E+00
77.7172,3.00E+00
77.7211,2.30E+01
77.7249,0.00E+00
77.8135,0.00E+00
77.8174,1.00E+01
77.8212,7.00E+00
77.8251,1.70E+01
77.8289,6.00E+00
77.8328,0.00E+00
77.8443,0.00E+00
77.8482,1.70E+01
77.8521,4.00E+00
77.8559,0.00E+00
77.9099,0.00E+00
77.9137,1.10E+01
77.9176,5.00E+00
77.9214,4.40E+01
77.9253,0.00E+00
77.9986,0.00E+00
78.0024,4.00E+00
78.0063,3.20E+01
78.0101,2.10E+01
78.014,0.00E+00
78.0256,0.00E+00
78.0294,1.10E+01
78.0333,6.10E+01
78.0371,5.86E+02
78.041,2.48E+03
78.0449,5.94E+03
78.0487,6.05E+03
78.0526,2.45E+03
78.0564,2.96E+02
78.0603,3.40E+01
78.0641,1.60E+01
78.068,2.10E+01
78.0719,0.00E+00
78.0757,4.00E+00
