M/Z,INTENSITY
61.1585,1.20E+01
61.1619,0.00E+00
61.1926,0.00E+00
61.196,9.00E+00
61.1995,6.00E+00
61.2029,1.50E+01
61.2063,1.10E+01
61.2097,0.00E+00
61.2131,0.00E+00
61.2165,9.00E+00
61.22,4.00E+00
61.2234,0.00E+00
61.2336,0.00E+00
61.237,2.70E+01
61.2405,6.00E+00
61.2439,0.00E+00
61.569,0.00E+00
61.5724,3.70E+01
61.5759,0.00E+00
61.5999,0.00E+00
61.6033,1.20E+01
61.6067,1.00E+01
61.6101,0.00E+00
61.6136,0.00E+00
61.617,8.00E+00
61.6204,1.20E+01
61.6239,0.00E+00
61.6753,0.00E+00
61.6787,1.50E+01
61.6822,7.00E+00
61.6856,0.00E+00
61.9397,0.00E+00
61.9431,7.00E+00
61.9466,1.00E+01
61.95,0.00E+00
61.9638,0.00E+00
61.9672,2.00E+01
61.9706,2.00E+00
61.9741,0.00E+00
62.0153,0.00E+00
62.0188,2.00E+01
62.0222,3.00E+00
62.0257,0.00E+00
62.1909,0.00E+00
62.1943,1.10E+01
62.1978,4.00E+00
62.2012,0.00E+00
62.2494,0.00E+00
62.2529,1.30E+01
62.2563,0.00E+00
62.3184,0.00E+00
62.3218,3.80E+01
62.3253,6.00E+00
62.3287,0.00E+00
62.3356,0.00E+00
62.3391,2.00E+00
62.3425,2.10E+01
62.346,0.00E+00
62.7397,0.00E+00
62.7432,1.30E+01
62.7466,0.00E+00
62.8539,0.00E+00
62.8574,9.00E+00
62.8608,6.00E+00
62.8643,0.00E+00
62.9994,0.00E+00
63.0029,1.10E+01
63.0064,1.10E+01
63.0098,1.20E+01
63.0133,0.00E+00
63.0688,0.00E+00
63.0723,1.50E+01
63.0757,2.00E+00
63.0792,0.00E+00
63.3431,0.00E+00
63.3466,4.00E+00
63.35,9.00E+00
63.3535,0.00E+00
63.4961,0.00E+00
63.4996,1.00E+01
63.5031,1.10E+01
63.5066,0.00E+00
63.6284,0.00E+00
63.6319,2.20E+01
63.6354,2.50E+01
63.6389,0.00E+00
63.74,0.00E+00
63.7435,7.00E+00
63.7469,1.10E+01
63.7504,0.00E+00
63.7679,0.00E+00
63.7714,1.10E+01
63.7748,1.20E+01
63.7783,0.00E+00
63.904,0.00E+00
63.9075,7.00E+00
63.9109,7.00E+00
63.9144,0.00E+00
64.0472,0.00E+00
64.0507,5.00E+00
64.0542,1.10E+01
64.0577,0.00E+00
64.1556,0.00E+00
64.1591,3.00E+00
64.1626,1.50E+01
64.1661,0.00E+00
64.2221,0.00E+00
64.2256,6.70E+01
64.2291,3.10E+01
64.2326,0.00E+00
64.5129,0.00E+00
64.5164,2.20E+01
64.5199,9.50E+01
64.5234,0.00E+00
64.7517,0.00E+00
64.7552,2.30E+01
64.7587,5.00E+00
64.7622,0.00E+00
64.7903,0.00E+00
64.7938,4.00E+00
64.7974,1.60E+01
64.8009,0.00E+00
64.8783,0.00E+00
64.8818,2.90E+01
64.8853,4.00E+00
64.8888,0.00E+00
64.9874,0.00E+00
64.9909,1.10E+01
64.9944,4.00E+00
64.9979,0.00E+00
65.0296,0.00E+00
65.0331,6.00E+00
65.0367,2.20E+01
65.0402,6.70E+01
65.0437,3.00E+01
65.0472,1.80E+01
65.0507,0.00E+00
65.1142,0.00E+00
65.1177,1.20E+01
65.1212,1.00E+01
65.1247,4.00E+00
65.1283,4.00E+01
65.1318,0.00E+00
65.167,0.00E+00
65.1706,9.00E+00
65.1741,1.40E+01
65.1776,0.00E+00
65.2446,0.00E+00
65.2482,7.00E+00
65.2517,1.00E+01
65.2552,0.00E+00
65.2587,0.00E+00
65.2623,3.10E+01
65.2658,0.00E+00
65.3823,0.00E+00
65.3858,7.00E+00
65.3893,1.50E+01
65.3929,0.00E+00
65.4211,0.00E+00
65.4247,1.00E+01
65.4282,1.40E+01
65.4317,0.00E+00
65.4847,0.00E+00
65.4883,8.00E+00
65.4918,1.10E+01
65.4953,0.00E+00
65.5095,0.00E+00
65.513,2.10E+01
65.5165,2.00E+00
65.5201,0.00E+00
65.5236,0.00E+00
65.5272,2.00E+01
65.5307,3.00E+00
65.5342,0.00E+00
66.0372,0.00E+00
66.0408,1.60E+01
66.0443,2.00E+00
66.0479,0.00E+00
66.0976,0.00E+00
66.1012,2.40E+01
66.1047,1.40E+01
66.1082,7.00E+00
66.1118,0.00E+00
66.1793,0.00E+00
66.1828,9.00E+00
66.1864,2.70E+01
66.1899,0.00E+00
66.2539,0.00E+00
66.2575,2.00E+00
66.261,3.30E+01
66.2646,0.00E+00
66.3286,0.00E+00
66.3322,3.00E+00
66.3357,4.40E+01
66.3393,0.00E+00
66.4104,0.00E+00
66.414,2.00E+00
66.4176,2.40E+01
66.4211,0.00E+00
66.4389,0.00E+00
66.4425,1.50E+01
66.446,1.40E+01
66.4496,5.00E+00
66.4531,0.00E+00
66.5244,0.00E+00
66.5279,8.00E+00
66.5315,7.30E+01
66.5351,0.00E+00
66.6705,0.00E+00
66.6741,9.00E+00
66.6776,4.00E+00
66.6812,0.00E+00
66.7383,0.00E+00
66.7419,8.00E+00
66.7454,9.30E+01
66.749,0.00E+00
66.7561,0.00E+00
66.7597,2.30E+01
66.7633,5.00E+00
66.7668,0.00E+00
66.9025,0.00E+00
66.9061,2.70E+01
66.9097,2.00E+00
66.9132,0.00E+00
67.0026,0.00E+00
67.0061,5.00E+00
67.0097,1.10E+01
67.0133,0.00E+00
67.0169,2.60E+01
67.0204,7.00E+00
67.024,0.00E+00
67.0419,0.00E+00
67.0455,1.80E+01
67.0491,9.00E+00
67.0526,9.10E+01
67.0562,1.69E+02
67.0598,2.50E+02
67.0634,1.30E+01
67.0669,0.00E+00
67.1278,0.00E+00
67.1313,1.30E+01
67.1349,4.50E+01
67.1385,0.00E+00
67.1993,0.00E+00
67.2029,7.00E+00
67.2065,7.00E+00
67.2101,0.00E+00
67.3785,0.00E+00
67.3821,1.80E+01
67.3856,0.00E+00
67.4215,0.00E+00
67.4251,3.00E+00
67.4287,2.30E+01
67.4323,0.00E+00
67.4358,0.00E+00
67.4394,9.00E+00
67.443,6.00E+00
67.4466,0.00E+00
67.4645,0.00E+00
67.4681,3.30E+01
67.4717,0.00E+00
67.5435,0.00E+00
67.5471,4.00E+00
67.5507,3.50E+01
67.5543,0.00E+00
67.5722,0.00E+00
67.5758,9.00E+00
67.5794,9.00E+00
67.583,0.00E+00
67.6799,0.00E+00
67.6835,1.10E+01
67.6871,5.00E+00
67.6907,0.00E+00
67.9677,0.00E+00
67.9713,1.10E+01
67.9749,5.00E+00
67.9785,0.00E+00
68.0505,0.00E+00
68.0541,5.00E+00
68.0577,3.10E+01
68.0613,7.00E+00
68.0649,3.10E+01
68.0686,0.00E+00
68.0722,3.70E+01
68.0758,1.60E+01
68.0794,0.00E+00
68.1118,0.00E+00
68.1154,4.00E+00
68.119,9.00E+00
68.1226,0.00E+00
68.1623,0.00E+00
68.1659,8.00E+00
68.1695,8.00E+00
68.1731,0.00E+00
68.2885,0.00E+00
68.2921,9.00E+00
68.2958,4.00E+00
68.2994,4.00E+01
68.303,1.50E+01
68.3066,0.00E+00
68.4547,0.00E+00
68.4583,5.00E+00
68.4619,2.40E+01
68.4655,0.00E+00
68.5016,0.00E+00
68.5053,1.10E+01
68.5089,8.00E+00
68.5125,0.00E+00
68.7513,0.00E+00
68.7549,4.00E+00
68.7585,1.10E+01
68.7622,0.00E+00
68.773,0.00E+00
68.7766,1.50E+01
68.7803,3.90E+01
68.7839,0.00E+00
68.8817,0.00E+00
68.8853,8.00E+00
68.889,8.00E+00
68.8926,0.00E+00
68.9361,0.00E+00
68.9397,7.00E+00
68.9434,7.30E+01
68.947,0.00E+00
68.9978,0.00E+00
69.0014,4.00E+00
69.005,1.50E+01
69.0086,0.00E+00
69.0268,0.00E+00
69.0304,6.80E+01
69.034,3.45E+02
69.0377,2.62E+02
69.0413,1.00E+01
69.0449,0.00E+00
69.0631,0.00E+00
69.0667,2.80E+01
69.0703,1.08E+02
69.074,9.90E+01
69.0776,2.90E+01
69.0812,0.00E+00
69.2665,0.00E+00
69.2701,2.00E+00
69.2738,2.20E+01
69.2774,0.00E+00
69.5503,0.00E+00
69.5539,1.50E+01
69.5576,2.00E+00
69.5612,0.00E+00
69.6086,0.00E+00
69.6122,1.30E+01
69.6159,0.00E+00
69.6705,0.00E+00
69.6742,6.00E+00
69.6778,9.00E+00
69.6815,0.00E+00
69.831,0.00E+00
69.8347,3.00E+01
69.8383,3.90E+01
69.842,1.80E+01
69.8456,0.00E+00
69.8712,0.00E+00
69.8748,3.00E+00
69.8785,1.50E+01
69.8821,0.00E+00
70.0319,0.00E+00
70.0356,2.00E+00
70.0392,1.90E+01
70.0429,0.00E+00
70.0648,0.00E+00
70.0685,8.00E+00
70.0721,1.30E+01
